ID_OREGANO:18333	PHARMGKB	MESH	 SNOMEDCT	 UMLS	 NDFRT	 MEDDRA	SNOMEDCT	NDFRT	 MESH	MEDDRA	UMLS	ORPHANET	ICD-11	ICD-10	OMIM	GARD
DISEASE:79	PA443275	D000267	42685002	C0001511	N0000000316	10059837										
DISEASE:80	PA166048866							N0000000320								
DISEASE:81	PA166048907							N0000010214								
DISEASE:82	PA166048777							N0000000322								
DISEASE:83	PA166048902							N0000000323								
DISEASE:84	PA165108409	D000307	190532009	C0001621	N0000000324	10001347										
DISEASE:85	PA443286	D000312	237751000	C0001627	N0000000328	10010323				10010323	C0001627	418	5A71.01	E25.0		1467
DISEASE:86	PA166048741							N0000000326								
DISEASE:87	PA446628	D018246	18365006;255036008;302826002	C0206667	N0000003719	10001232										
DISEASE:88	PA446644	D018268	2227007	C0206686	N0000003735	10055076				10001388	C0206686	1501	2D11.Z	C74.0		558
DISEASE:89	PA443283	D000308	275437005;47270006	C0001622	N0000000325	10001332										
DISEASE:90	PA165108566	D047808	237746006	C0302280	N0000010958	10001383				10061630	C0302280	181412	5A71			
DISEASE:91	PA443288	D000326	65389002	C0162309	N0000000330	10051260				10051260	C0162309	43	5C57.1	E71.3		5758
DISEASE:92	PA165109183	D016706	239920006	C0085253	N0000003457	10064056										
DISEASE:93	PA165108793	D003527	191755004	C0010598	N0000000886	10001446										
DISEASE:94	PA443291	D000347	234621005;278504009;359727008	C0001733	N0000000334	10052651										
DISEASE:95	PA165108867	D000355	79021000	C0001748	N0000000335											
DISEASE:96	PA165108148	D000357	31713007	C0001752	N0000000336											
DISEASE:97	PA165108761	D014353	186818008	C0041228	N0000003026	10001461				10001461	C0041228	3385	1F51.Y;1F51;1F51.0;1F51.00;1F51.1;1F51.10;1F51.0Y;1F51.1Y	B56.0;B56.1;B56.9		7826
DISEASE:98	PA165108280	D000360	421705002	C0001762		10001463										
DISEASE:99	PA443294	D000361	119249001	C0001768	N0000000337	10001470				10001471	C0001768	183669				
DISEASE:100	PA166129558									10001488						
DISEASE:101	PA445299	D010520	2624008;49965002	C0031106	N0000002373											
DISEASE:102	PA166257721						248280005									
DISEASE:103	PA446855	D019588	399959003;88587007	C0231341	N0000003946	10063493				10063493	C0231341	79389				
DISEASE:104	PA166123306									10001497						
DISEASE:105	PA447194	D000379	247830007;70691001	C0001818	N0000000340	10001502										
DISEASE:106	PA443297	D000380	17182001;191350006;417672002	C0001824	N0000000341	10001507										
DISEASE:107	PA443298	D000381	206990000;27206009	C0001825	N0000000342	10001508										
DISEASE:108	PA166048738							N0000003524								
DISEASE:109	PA443301	D000387	38528001	C0001860	N0000000345	10001524										
DISEASE:110	PA443302	D000402	79688008	C0001883	N0000000346	10001536										
DISEASE:111	PA165108837	D000405	53333005	C0001889	N0000000347	10001542										
DISEASE:112	PA446376	D016738	31742004	C0085280	N0000003467	10053870				10053870	C0085280;C1956125	52	LB20.0Y	Q44.7	118450	804
DISEASE:113	PA443304	D000417	15890002	C0001916	N0000000348	10001557										
DISEASE:114	PA446282	D016117	26399002	C0078917	N0000003371	10065276										
DISEASE:115	PA446280	D016115	63844009	C0078918	N0000003369						C0078918	55	EC23.20			10958
DISEASE:116	PA443305	D000419	207311002;274769005	C0001925	N0000000349	10001580										
DISEASE:117	PA165109017	D000425	73097000	C0001940	N0000000350	10001593										
DISEASE:118	PA165108125	D000425	191473002	C0001940	N0000000350	10001593										
DISEASE:119	PA165108828	D005235	50325005	C0015696	N0000001218	10001619										
DISEASE:120	PA165108315	D020269	7916009	C0085677	N0000004089	10001629										
DISEASE:121	PA165108900	D011604	191482008	C0033936	N0000002530	10001631										
DISEASE:122	PA166048857							N0000004088								
DISEASE:123	PA443309	D000437	191809008;191814007;191815008;284591009;66590003;7200002	C0001973	N0000000353	10001585										
DISEASE:124	PA446879	D019973	29212009	C0236664	N0000003982											
DISEASE:125	PA443307	D000430	8635005	C0001957	N0000000351	10001610										
DISEASE:126	PA446985	D020270	308742005;361267005;361268000	C0586323	N0000004090	10056347										
DISEASE:127	PA165108173	D000453	62251004	C0002016	N0000000354											
DISEASE:128	PA152241270	D038261	81854007	C0270726	N0000010949						C0270726	58	8A44.2	E75.2	203450	5774
DISEASE:129	PA443311	D000471	190892004;21420006	C0002063	N0000000355	10001680										
