ID_OREGANO:18333	PHARMGKB	MESH	 SNOMEDCT	 UMLS	 NDFRT	 MEDDRA	SNOMEDCT	NDFRT	 MESH	MEDDRA	UMLS	ORPHANET	ICD-11	ICD-10	OMIM	GARD
DISEASE:4044		D020790								10068587	C0687720	178029	5A61.5	E23.2	125700	6015
DISEASE:4055		D055371								10069351	C0242488	178320		S27.3		
DISEASE:4066		D052245								10063396	C0271097	886	LD2H.4	H35.5		7843
DISEASE:4075		C531653;D015267								10048594	C0008728	183	4A44.A2	M30.1		6111
DISEASE:4079		C536589									C0338488	2131	MB53.0	G98		11
DISEASE:4086		D005357								10016664	C0016063	249	FB80.0	Q78.1		6444
DISEASE:4088		C537022									C1835698	2334	9A7Y	H16.8	148190	3089
DISEASE:4092		C538235									C0268126	46	5C55.0Y	E79.8	103050	550
DISEASE:4093		C537332								10067529	C0342853;C2931471	3166	5C56.4	E77.8	269921	4865
DISEASE:4094		C537345								10063985	C0342907;C2749759	2882	5C52.1Y	E78.0	210250	7653
DISEASE:4101		C536174								10062952	C0878555	171700	CA26.1	J44.8		8526
DISEASE:4112		D008375								10026817	C0024776	511	5C50.D0	E71.0		3228
DISEASE:4114		C536835									C0398746	32	3A10.0Y	D55.1	266130	10047
DISEASE:4117		C537359									C1848561;C4693974	26	5C50.E0	E71.1	277400	3579;7033
DISEASE:4131		C538260								10010626	C0266172	1201	LB15.1	Q41.0;Q41.1;Q41.8;Q41.9;Q41.2		140;6799
DISEASE:4143		C536787									C1849140	98	8A03.1Y	G11.1	270550	4910
DISEASE:4148		C536591								10053042	C0948954	284	1F73.Y	B67.6;B67.7;B67.5		207
DISEASE:4149		C535633									C0393520	1177	8A03.1Y	G11.1		2600
DISEASE:4157		C535735								10010456	C0265797	1928	LA75.5	Q33.8		2104
DISEASE:4172		C535634									C2029348	199282	EE01.0	G90.8		8610
DISEASE:4179		D016553								10021245	C0398650	3002	3B64.10	D69.3		5194;6768
DISEASE:4185		C538259									C0521802;C3277918	1195	5D0Y	E88.0	209300	9595
DISEASE:4192		D054067								10052622	C1959620;C0274576	1675	5C55.1	E79.8	274270	19
DISEASE:4196		C537236								10059299	C0268563	3129	5C50.71	E72.5	268900	158
DISEASE:4198		C535325									C0878676;C2678415	13	5C59.01	E70.1	261640	5682
DISEASE:4201		C536419								10036732	C0566602	171	DB96.2	K83.0		1280
DISEASE:4202		C537000								10035154	C0158360	199251	EE61	M72.2		6873
DISEASE:4205		C535861									C0340548	199241	BB01.0	D18.0		8527
DISEASE:4206		C538266									C2931788	2134	3A10.Y	D59.3		8702
DISEASE:4210		C536254									C1849508	3006	8A61.0Y	G40.8	266100	9298
DISEASE:4212		C535500								10048816	C0238111	2382	8A62.1	G40.4		9912
DISEASE:4214		D034721								10042949	C0221013	2467	2A21.0	C96.2		8616
DISEASE:4222		D011818								10037742	C0034494	770	1C82	A82.0;A82.1;A82.9		7516
DISEASE:4226		D009085								10028095	C0026707	582	5C56.32	E76.2		12562
DISEASE:4239		D052556									C0220756	646	5C56.0Y	E75.2		7207
DISEASE:4240		D010008								10031231	C0029421	2764	FB82.1 	M93.2		12703
DISEASE:4242		D001906								10006041	C0006057	1267	1A11	A05.1		943
DISEASE:4243		D010916								10035116	C0032027	2897	EA94	L44.0	173200	7401
DISEASE:4246		C535952								10017902	C1262481	2070		K52.8		
DISEASE:4260		C537162									C0334489	677	2C10.0	C25.1		4210
DISEASE:4267		C537533									C0265202	808	LD24.D	Q87.1		8562
DISEASE:4284		D056768										643	8C2Y	G60.8		6500
DISEASE:4288		D055036									C1861922;C1842462;C1861923;C3549544	140	LD2A.Y	Q87.1	114290	10027
DISEASE:4296		C538336									C0796085	627	LD2F.1Y	Q87.0	302350	7161
DISEASE:4301		D056929								10037113;10052313	C0221043	526	BA04.Y	I15.1	177200	7381
DISEASE:4307		C536122									C0339535	215	9D45	H53.6		3995
DISEASE:4310		D015794								10008791	C0008525;C0344297	180	9B61	H31.2	303100	6061
DISEASE:4320		C537340									C0796154	373	LD2C	Q87.3	312870	7649
DISEASE:4336		C537243									C2931456	1331	2C82.Y	C61		4520
DISEASE:4339		C535589									C0342790	157	5C52.00	E71.3		1121
DISEASE:4345		C536795									C0265492	1446		Q93.2		1336
DISEASE:4355		C535326								10050469	C0265264	392	LD2F.1Y	Q87.2		6666
DISEASE:4359		C537663									C0346104	113	LD27.5	L98.8		838
DISEASE:4362		D023961									C0949595	243	LB45.1	Q99.1	233300	
DISEASE:4367		D046589								10065551	C0751587;C4551768	136	8B22.C0	I67.8	125310	1049
DISEASE:4369		C535984								10010670	C0403814;C5393224	48	LB57	Q55.4	277180	5461
DISEASE:4379		C536282								10064911	C2973725	182090	BB01.0			7501
DISEASE:4380		D002636								10070535	C0008029	184	LD24.22	K10.8	118400	6036
DISEASE:4384		C535460									C0795956	71	5C81.1	E78.6	246700	9683
DISEASE:4389		C535466;D020936								10067866	C0220669	1949	8A61.0Y	G40.3		1519
DISEASE:4402		C535687									C0392475	3103	LD2F.1Y	Q73.8	268300	7387
DISEASE:4418		C536528									C0175697;C4551864	888	LD2F.1Y	Q38.0	119300	8414
DISEASE:4428		C536808									C2931338	1621	LD44.30	Q93.5		
DISEASE:4438		C537119									C0265309;C0152441	240	LD24.A	Q77.8	127300	3224
DISEASE:4439		C537565;C535781									C0265343	2311	LD24.H	Q76.8	277300	6798;10726;9703;4976;12807
DISEASE:4441		D058497									C0265233;C4551480	2052	LD2H.0	Q87.0	219000	6465
DISEASE:4442		C535850									C1859327	1354		Q87.2		2613
DISEASE:4444		C537771									C3495676	557	LB17.0			
DISEASE:4445		D056889									C0574083	111	5C50.E0	E71.1	302060	5890
DISEASE:4447		C538339								10028793	C2931822;C1846758	150	2E60.0	C11.0;C11.1;C11.2;C11.3	607107	7163
DISEASE:4448		D001607								10004485	C0221052	133	CA60.6	J63.2		867
DISEASE:4449		C536221									C1531773;C1867774;C1867775	1552	LD2F.1Y	Q87.8	176450	1626
DISEASE:4450		C537824									C2931633	1450		Q93.2		1347
DISEASE:4451		C537763									C0795814	1448		Q93.2		6095
DISEASE:4454		C535361									C0265395	1437		Q93.2		1320
DISEASE:4457		C537636									C0265407	1447		Q93.2		1339
DISEASE:4458		C535369									C0265482	1444		Q93.2		1334
DISEASE:4460		C538086									C0265438	1438		Q93.2		1322
DISEASE:4464		C538027									C0795832	3310	LD7Y	Q99.8		42
DISEASE:4465		C536961								10063654;10063656	C0342549;C2674612	3000	5A81.0	E30.1	176410	4475
DISEASE:4467		D057891									C0333694	3305	LD42.1	Q92.7		5151
DISEASE:4471		D057885									C0333693	3376	LD42.0	Q92.7		5295
DISEASE:4474		C538037									C2931707	1706		Q92.1		5313
DISEASE:4475		C535332								10063429	C0220686	916		Q87.8		5642
DISEASE:4476		C535334									C1838099	918			600501	335
DISEASE:4477		C535557									C1860224	920	LD2F.1Y	Q87.0	200110	3
DISEASE:4478		C537109									C0265487	1445		Q93.2		6083
DISEASE:4479		C535313									C0796137;C4551776	7		Q87.8	220210	5666
DISEASE:4480		C536014									C0265559	931	LB9B	Q74.8	200500	376
DISEASE:4481		C536010									C1860212	929		Q39.5		456
DISEASE:4482		C536008;C536009									C0271742	869	5A74.Y	E27.4		457
DISEASE:4485		C535559									C1844862	921		Q87.8	302905	360
DISEASE:4487		C535312									C0342737	939	5C50.E0	E71.1		5662
DISEASE:4488		C536582									C2752074	31	5C53.1	E88.8	203740	617
DISEASE:4489		C536020									C1860168	935	4A01.10	D82.2		463;2988
DISEASE:4493		C538179									C0220659	950	LD2F.16	Q75.4		5724
DISEASE:4497		C535665									C1860166	958	LD2F.1Y	Q87.8		480
DISEASE:4500		C536695									C0457013	952	LD25.2	Q75.4	193530	497
DISEASE:4502		C535489									C2930917	1703		Q92.1		1327
DISEASE:4503		C538034									C2931702	1705		Q92.3		
DISEASE:4504		C536578									C2931246	1713	LD41.G1	Q92.3	610883	10145
DISEASE:4505		C537643										1738	LD41.31	Q92.2		6091
DISEASE:4509		C538020									C0795829	1752	LD41.70	Q92.2		5362
DISEASE:4510		C537723									C1846058	1762		Q99.8	300260	9781
DISEASE:4513		C536350									C1848586	1876	DA90.2	G71.0		5496
DISEASE:4514		C537662									C2931579	1948		Q87.8		836
DISEASE:4517		C535497									C1856929	1951		G40.8		2168
DISEASE:4521		C537476									C1855033	2597		G71.3	251950	3682
DISEASE:4522		C536101									C1838103;C4551958	2598	3A72.0Y	G71.3	600462	3885
DISEASE:4524		C537511									C2931515	1078		Q87.2		4375
DISEASE:4526		C536373									C1862866	1072	LD2F.1Y	Q87.0		696
DISEASE:4527		C535289									C1785148	1071		Q82.4		6571
DISEASE:4529		C536568									C2931243	1068		Q13.1		5530
DISEASE:4531		C536371									C1859782	1064		Q87.8		690
DISEASE:4532		C536364									C1275084	1062		D18.0		676
DISEASE:4537		C536535									C0431420	1053	LA90.20	Q28.2		5467
DISEASE:4543		C536987										1052	LD7Y	Q99.8		3007
DISEASE:4547		C537351									C0432226	1040	LD24.7	Q78.5		3562
DISEASE:4550		C536613								10051643	C2931264	1037	LD26.41	Q74.3		777
DISEASE:4553		C537423									C0543874	1125	9C82.4	H51.8		16
DISEASE:4556		C536936									C1839123	1122		Q73.8		5400
DISEASE:4557		C537788									C1859753	1116	LD27.Y	Q84.8		753
DISEASE:4559		C537930									C1862100	1118	LD26.0	Q73.8		2331
DISEASE:4561		C537785									C1862682	1110		Q87.8		739
DISEASE:4563		C535881									C1859754	1112		Q87.8		3051
DISEASE:4565		C537780										83	LD24.GY	Q87.8		5826
DISEASE:4567		C537767									C1833339	1104	LD21.0	Q87.8		719
DISEASE:4568		C536948									C2931373	1094		Q87.8		5123
DISEASE:4576		C535607									C0393591;C0796126;C3150315	51	5C55.2	G31.8	225750	575;10151
DISEASE:4581		C538052									C1863204	978	LD27.0Y	Q87.2	103285	384
DISEASE:4583		C538051									C1846044	977	5A74.Y	E27.4		562
DISEASE:4584		C535564									C1861099	988		Q87.2		8309
DISEASE:4588		C537770								10002641	C0266427	983	LD2A.Y	Q55.0	273250	
DISEASE:4592		C535661									C1864356	40	LD24.9	Q77.8	602875	507
DISEASE:4593		C535662									C0265287	969	LD24.8Y	Q77.8	102370	7
DISEASE:4595		C538225									C0265268	974	LD2F.1Y	Q87.2		5739
DISEASE:4603		C535655									C0796280	965				501
DISEASE:4607		C538245									C1863006	1028	LD27.0Y	Q82.4		647
DISEASE:4609		C538241									C2931783	1031	LA30.6	K00.5	204690	646
DISEASE:4618		C536604									C1857588	1021	9B70	H35.5		637
DISEASE:4620		D056769								10068783	C0268425	64	LD2H.Y	E34.8	203800	5787
DISEASE:4621		C536605									C1840362	1023	LD27.0Y	Q84.2		8206
DISEASE:4629		C537057									C1863090	1008	LD90.Y	Q87.8		607
DISEASE:4630		C537055								10001767	C0263505	701	ED70.2Y	L63.1		614
DISEASE:4632		C537053									C2931406	1011				
DISEASE:4634		C538317									C2931817	1001		Q93.5	600430	10202
DISEASE:4636		C537047									C0795889	59	5A00.0Y	G31.8	300523	5617
DISEASE:4637		C536622									C1867021	1003		Q87.2		241
DISEASE:4638		C537051									C0795895	1005		Q87.8		605
DISEASE:4644		C536575									C0265339	127	LD29	Q87.8	301900	936
DISEASE:4647		C536573									C0432201	1263	LD24.E	Q87.1		933
DISEASE:4648		C536236									C1862259	1259	LA14.0Y	Q15.8		912
DISEASE:4653		C537908									C1319466	1231	LD27.3	Q87.0	209885	819
DISEASE:4658		C537350									C1855243	1240	LD24.7	Q78.5		3519
DISEASE:4660		C537668									C1859526	1237		Q87.8		846
DISEASE:4661		C538271									C1862381	114	LD24.E	Q87.5		8663
DISEASE:4662		C536211									C0220668	115	LD28.00	Q68.8	121050	5899
DISEASE:4666		C536242									C1862082	1292		Q87.1		918
DISEASE:4668		C537098									C0432228	1293				10903
DISEASE:4681		C538396									C1855551	1296		Q87.8		3169
DISEASE:4691		C537081									C1859405	1270	LD20.2	Q87.8	211180	5950
DISEASE:4692		C548032									C1969623	137605	LD27.5	Q85.0	611431	10714
DISEASE:4698		C535349									C0431406	1166		Q87.0		
DISEASE:4701		D002915								10003446	C0008732	1160	DC51.0	I89.8		1359
DISEASE:4702		D001100								10003074	C0003708	137817	8E40.3	G03.9		5839
DISEASE:4704		C535350									C1859306	1174	LD27.0Y	G11.1		1189
DISEASE:4705		D057831								10065552	C0343525	137839		J03.8		6882
DISEASE:4720		C537427									C0342280	1133	LD27.0Y	Q87.8		8509
DISEASE:4721		C535584									C1708371	137675	BC43.00	I42.0		9511
DISEASE:4723		C535766									C1836683	137678	LD24.3	Q77.7	609162	10220
DISEASE:4726		C535380									C1844934	1145	8B61.Y	G12.1	301830	8521
DISEASE:4727		C535386									C1862471	1144	LD26.4Y	Q68.8		784
DISEASE:4731		C538401									C1859711	1150	LD26.41	Q87.8		792
DISEASE:4734		C535387									C0432215	1159	LD24.3	Q77.7	208230	9184
DISEASE:4739		C535351									C1832466	1215	9C40.8	H47.2		5243
DISEASE:4745		C535921									C0267034	1221	DA00.0	K13.0		412
DISEASE:4749		C536788									C0265308	1225	LD24.GY	Q75.0	218600	1602
DISEASE:4751		C537901									C1855794	1226	5A00.0Y	E03.1	241850	414
DISEASE:4753		C537902									C0342284	1227		E31.8		812
DISEASE:4756		C538270									C1865295;C4551996	137888	LD2F.16	Q75.8	602483	9798
DISEASE:4758		C535523									C1849096	1186	LD90.Y	G11.1	271245	4062
DISEASE:4764		C535388									C0796028	1187	LD2H.Y	E79.8	301835	8756
DISEASE:4765		C535396									C0265283	1190	LD24.E	Q78.8	108720	9287
DISEASE:4770		C537411									C1837822;C1835913	1200		Q87.8	608572	10041
DISEASE:4776		C535720								10013812	C0266174	1203	LB14	Q41.0		54
DISEASE:4780		C537813									C0795818	1449		Q93.2		1345
DISEASE:4784		C535487									C2930916	1440		Q93.2		6072
DISEASE:4790		C536434									C1838180	1458		Q87.8	600373	1418
DISEASE:4793		D058456								10015901	C0154832	190	LD21.Y	H35.0		6121
DISEASE:4798		C537299									C2931048	1426	LD24.04	Q77.3	215140	8754
DISEASE:4809		C535465;C538135									C2931745	1484	LD27.0Y	Q87.8		1515
DISEASE:4813		C535473									C1857572	1490	LD2H.Y	H18.5	217400	1529
DISEASE:4817		C537194									C1854664	1486	LD26.4Y	Q68.8	253310	3227
DISEASE:4822		C548034									C2932679	141327	LD25.00	Q87.0		10693
DISEASE:4823		C548035									C2932680	141330	LD25.00	Q87.0		10694
DISEASE:4824		C535969									C1852752	1471	LD2F.1Y	Q87.1		1437
DISEASE:4829		C536746									C0406718	1409				5594
DISEASE:4831		C536939									C0432347;C4551573	1410	EC21.0	Q84.1	191480	5404
DISEASE:4834		C536943									C1861305;C1861306	1412	LD26.3	Q74.8	186570	9225
DISEASE:4849		C535674									C0796136	1399	LD2H.Y	G60.2		8423
DISEASE:4854		C537352									C0265289	174	LD24.7	Q78.5	156500	7029
DISEASE:4858		C535943									C0432242;C4012146	1425	LD24.E	Q78.8	251450	1818
DISEASE:4866		C536975									C0265767	141127	LA73.0	Q32.1		12008
DISEASE:4870		C535862									C1847521	141148	LA52	Q67.4		10084
DISEASE:4875		C538137									C1833213	163		H26.0	600886	2806
DISEASE:4882		C538283									C0796123	1368	LD2H.Y	G11.2		1141
DISEASE:4884		C535336									C1859316	1366	LD27.0Y	Q84.0;Q82.8		1139
DISEASE:4892		D020232								10066431	C0270707	157823		G04.8		6840
DISEASE:4899		C535347									C1844887	1388	LD2F.1Y	Q87.8	616145	28
DISEASE:4902		D018323									C0206732	157791	2B5Y	D48.1		
DISEASE:4911		C537999									C0432209	156731	LD24.3	Q77.7		9810
DISEASE:4912		C538287									C1861829	1377		Q13.8		1155
DISEASE:4914		C537972									C2931681	1325		Q68.1		1069
DISEASE:4916		C537971									C2931680	1326		Q87.1		1068
DISEASE:4919		C537970									C1859359	1327		Q87.1		1067
DISEASE:4922		C537287;C537974									C1859357	1321		Q87.2		1064
DISEASE:4925		D056648									C2717865	156152	4A44.A			
DISEASE:4932		C537966									C1859371	1318	LD24.C	Q87.8		1061
DISEASE:4933		C537967									C1861963	1319		Q74.8		1062
DISEASE:4938		D008342								10051456	C0242387;C5574871	155899	LD2F.16	Q75.4	154500	
DISEASE:4955		C535849									C2931046	1338		Q87.8		4166;2612
DISEASE:4958		C535579									C1275081	1340	LD27.0Y	Q87.8	115150	9146
DISEASE:4961		C536665									C1849930	2856	LD2A.Y	Q55.8	261550	8435
DISEASE:4966		D058502									C0559483	1335	LD2F.1Y	Q89.7		7359
DISEASE:4976		C535731								10013140	C0394006	1766		G11.8		1998
DISEASE:4977		C536959									C1857512	1777		Q87.8	218340	5688
DISEASE:4982		C537154									C1855848	1790		Q75.4		2907
DISEASE:4984		C538182									C2931762	1786	LD25.2	Q75.4		494
DISEASE:4985		C538183									C1860119	1788	LD25.2	Q75.4		496
DISEASE:5002		C538316									C2931816	1617	LD44.20	Q93.5		3746
DISEASE:5005		C538088									C0796092	1647	LD20.Y	Q87.8		106
DISEASE:5009		D003805									C0011430	1653	LA30.7	K00.5		
DISEASE:5015		C535373									C1857301	1657	LD27.0Y	Q82.8		1814
DISEASE:5019		C538220									C1857314	1659		E75.2		1813
DISEASE:5031		C536739									C0432217	1667	5A13.6	Q87.1	226980	5589
DISEASE:5040		C536214									C1832409;C1848947	1545	LD26.41	G90.8	272430	1611
DISEASE:5042		C537559									C0795998	1540		Q87.8	123150	6796
DISEASE:5058		C535771									C1857351	1566		Q87.8		1669
DISEASE:5059		C537612									C1865794	140976		Q87.8	602152	9681
DISEASE:5060		C535769									C1855477	1563	LD27.0Y	Q87.8		237
DISEASE:5061		C535463									C1849437	140969	LD24.8Y	Q87.5	266920	8600
DISEASE:5063		C536061									C1833698	1562	LD24.1Y	Q78.8		351
DISEASE:5067		C537622									C0574080	382	5C53.4	E72.8	612736	2578
DISEASE:5068		D056732									C0268532	742	5C50.F0	E72.8	170100	7473
DISEASE:5074		C537209									C1849409;C4551775	1571	LD2F.1Y	Q15.8	267750	380
DISEASE:5076		C535468									C1852576	1551		E83.0		1522
DISEASE:5080		C535992									C0265201	1569			278800	8276
DISEASE:5093		C536452									C1857532	1512		Q87.5		8428
DISEASE:5102		C535863									C1849334	1507	LD24.A	Q87.1		
DISEASE:5103		C535572									C0795905	1517	LD2F.1Y	Q78.8	239850	8585
DISEASE:5106		C536456									C0220767	1520	LD25.3	Q87.1	304110	1578
DISEASE:5112		C536455									C1857511	1516		Q87.0		1575
DISEASE:5116		C535597									C1857471	1528	LD20.1	Q04.3		1605
DISEASE:5117		C536453									C1852510	1529	LD2H.Y	Q87.0	122880	1571
DISEASE:5121		C536384									C2931183	1969		Q87.0		2387;2221
DISEASE:5124		C536388									C0795936	1973		Q87.8		2230
DISEASE:5129		C537997									C0432282	1822	LD24.2Y	Q74.8		2019
DISEASE:5130		C537038								10062600	C0796021	1824	LD24.6Y	Q87.5	226960	264
DISEASE:5131		C538095									C1833676	1952	FB86.2	Q77.8		4189
DISEASE:5132		C535513									C1856898	1954		Q82.8		2192
DISEASE:5133		C535514;C535738									C1851481	1955	8A03.16	G11.1	133190	59
DISEASE:5144		C537922								10016508	C0265372	1912	LA07.1	Q86.1		6435
DISEASE:5151		C537798									C0265373	1913	LD2F.0Y	Q86.8		
DISEASE:5156		C536525								10016524	C0236026	1906	LD2F.03	Q86.8		5447
DISEASE:5163		C536385									C1744559	1807		Q82.8		121
DISEASE:5183		C536935									C1860615	1837	LD24.7	Q78.5		4740
DISEASE:5184		C535547									C1835009	1836	LD24.A	Q78.8		3074
DISEASE:5185		C537790									C2931613	1834		Q87.8		213
DISEASE:5186		C535537									C2930925	1831				3027
DISEASE:5187		C536629								10048699	C0877024	1830	4A01.32	Q77.7	242900	4984
DISEASE:5191		C537741									C1832473	1811		Q84.8		4053
DISEASE:5193		C536180									C1832411	1808	LD27.0Y	Q82.8		2682
DISEASE:5200		C538128									C0432239	1801	LD24.C	Q79.8		10149
DISEASE:5203		C537736									C1838348	1794	LD25.3	Q75.1	600251	4046
DISEASE:5208		C538112									C2931736	2139		Q87.8		
DISEASE:5210		C536390									C1857277	2143	LD2F.1Y	Q87.8	222448	1899
DISEASE:5237		C536825									C1841989;C4317151	2087			137940	
DISEASE:5238		D058252									C1275339	158011	EE8Y	D76.3		10951
DISEASE:5240		C537288									C0220666	376	LD26.4Y	Q68.8	114300	2553
DISEASE:5245		C537300								10053878	C0265306	380	LD26.2	Q87.0	175700	6550
DISEASE:5246		C537290									C0345382	2095	LD27.0Y	Q87.0		66
DISEASE:5249		C537293									C1841835	2097	LD24.KY	Q87.5		2559
DISEASE:5251		C537621									C2931551	2101		Q87.8		2576
DISEASE:5257		D051303									C1565172	157843	8A82			
DISEASE:5258		C535651									C1850899	2069	EC23.1			2438
DISEASE:5259		C548080									C1853578	157846		G23.0	606159	10686
DISEASE:5262		D051302								10019461	C1399352	157835	8A82	G44.0		10794
DISEASE:5263		C537548									C0795949;C4551772	2065	GB41	Q04.3	251300	65
DISEASE:5264		C537683									C1856466	2075	LD2F.1Y	Q87.8		2460
DISEASE:5266		C537678									C2931587	2074				2451
DISEASE:5272		C537799									C0432255	2078	LD2B	Q82.8	231070	413
DISEASE:5285		C538064									C0265293	1826	LD25.1	Q78.5		826
DISEASE:5286		C537066									C0343108	2047		Q87.8		2347
DISEASE:5287		C537069									C2931412	2048		G12.2		2351
DISEASE:5288		C535963									C1862178	2050	LD24.KY	Q78.0		1425
DISEASE:5291		C536344									C1860464	2064		Q87.5		2276
DISEASE:5292		C538065									C1876203	250				2392
DISEASE:5294		C538070									C0220730	2059	LD2F.1Y	Q87.8		3699
DISEASE:5297		D057770									C0406578	2028	EE6Y	M72.8		
DISEASE:5302		C537918								10068448	C2363814	2019	LD26.0	Q74.8		2286
DISEASE:5306		C537065									C2931411	2045		L60.8		2346
DISEASE:5307		C537062									C0729582	2044	LD2F.1Y	Q87.8	136140	6455;3221
DISEASE:5311		C536623									C1867020	2036	LD27.0Y	Q87.8	181270	159
DISEASE:5317		C535493									C1864826	158687		Q81.0	609638	9910
DISEASE:5324		C536183									C1858302	158668		Q81.0	604536	9705
DISEASE:5327		C537489									C2931507	2017	LB73.13	Q76.7		5012
DISEASE:5336		C537078									C0403445	1984		D69.4		
DISEASE:5343		C537916									C0265263	1988	LD2F.1Y	Q87.8		61
DISEASE:5357		C536159									C0343057	2340	ED56	Q82.8		6829
DISEASE:5359		C537627									C1855627	2342		Q82.8	245010	44
DISEASE:5363		C537207									C0265279	485	LD24.3	Q77.7	156550	6841
DISEASE:5365		C537208									C1855605	2347		Q77.8		3124
DISEASE:5367		C537020									C0265291;C4316787	2333		Q87.1	127000	
DISEASE:5369		C537015									C0220687	2332	LD2F.1Y	Q87.8	148050	82
DISEASE:5370		C536416									C1853396	247604		G12.2	606353	4485
DISEASE:5378		C536158									C1839910	2339		Q87.1		3099
DISEASE:5381		C537705								10063935	C0796004	2322	LD2F.1Y	Q87.0	147920	6810
DISEASE:5383		C537694									C1832362	2321		Q87.8		3062
DISEASE:5384		C537706									C1850140	2324		Q87.5		354
DISEASE:5392		C537319									C1866740	2329		Q87.2		4967
DISEASE:5394		C537008									C0796005	2328		Q87.8		3078
DISEASE:5398		C537037									C0796020	2409	LD2F.1Y	Q87.8		3300
DISEASE:5411		C536988									C1854961	2400	8C2Y	G60.8		
DISEASE:5413		C535736									C0406612	2396	EF02.1	E88.2	613001	2108
DISEASE:5421		C535889									C0544855;C0263532	2387	EC22.0	Q84.4	151600	9759
DISEASE:5426		C536448									C1852523	2391		Q68.8		1551
DISEASE:5432		C537872									C1855535	2371	LD24.E	Q74.8		3181
DISEASE:5438		C535689									C1851100;C1851101	2378	LD26.2	Q87.2	135750	155
DISEASE:5453		D004687								10014642	C0014084	296	2E83.Z	Q78.4		7251
DISEASE:5458		C535507									C0398641	1019		D69.4		
DISEASE:5459		C537957								10000746	C1455728	243367	JA65.0	O26.6		9578
DISEASE:5478		C537387									C0544862	2481	2F20.20	D22.4;D22.5;D22.6;D22.3;D22.7	249400	7186
DISEASE:5479		C537238									C2931453	2482	LD24.H	Q76.4		3462
DISEASE:5483		C536700									C1848463	2475		Q87.8		10081
DISEASE:5486		C538159								10052312	C0948368	2473	9B70	Q87.8	236700	3427
DISEASE:5487		C538158									C0796038	2471	LD2F.1Y	Q87.8		3424
DISEASE:5489		C536026									C0265211	561	LD2C	Q87.3	602535	6985
DISEASE:5493		C537328									C1321551	2462	LD28.0Y	Q87.8	182212	4861
DISEASE:5494		C535910									C0796033	2461	LD26.41	Q87.0	248700	6973
DISEASE:5512		C536079									C2931104	2189	LD2F.1Y	Q87.8		6683
DISEASE:5522		C538319									C1844017	2150		Q43.1		2700
DISEASE:5525		C536990									C1856113	2152	LD2F.1Y	Q43.1	235730	9673
DISEASE:5535		C538321									C0268642	2158		E70.8		2708
DISEASE:5544		C535327									C1856095	2167		Q87.8		2728
DISEASE:5549		C538389									C0235864	2222	LD27.0Y	Q84.2		12754;2865
DISEASE:5559		C538393									C2931837	2224	5C50.3	E70.8	600627	2871
DISEASE:5569		C537156									C1832648	2238	5A50.0Y	E20.8		2910
DISEASE:5587		C536153									C1835671	2201		Q82.8		3095
DISEASE:5589		C536152									C1835672	2202	EC20.30	Q82.8	148350	3094
DISEASE:5621		C536085									C1839988	2273	LD27.2			2952
DISEASE:5623		C536560									C0268238	165	5C52.2			3262
DISEASE:5634		C536934										2249		Q87.2		5398
DISEASE:5648		C536904									C2931366	2251		Q87.1		5199
DISEASE:5666		C537690									C0796099	2319	LD2F.1Y	Q87.0	216100	3060
DISEASE:5669		C535882									C0796002	2316	LD27.0Y	Q87.8		378
DISEASE:5671		C535880									C0175692	2315	LD27.0Y	Q87.8	243800	80
DISEASE:5675		D053549									C0265334	2309	LD27.Y	Q84.5		10753
DISEASE:5685		C536274									C1855787	2278				4641
DISEASE:5691		C537395									C1863843	2289	8A0Y	G31.0	603472	3971
DISEASE:5695		C535997									C3494175	2287	LA30.4	K00.2		2419
DISEASE:5703		C536229									C1852396	2674		Q87.8		9487
DISEASE:5706		C537388									C0796088	2673		Q87.8		3964
DISEASE:5707		C536407									C1851708	2672		G93.4		3949
DISEASE:5715		C536401									C1850553	2668	LD2H.Y	Q87.8		3940
DISEASE:5717		C538342									C1850626	2663		Q87.8		3929
DISEASE:5721		C535725									C1851996	2661				1991
DISEASE:5723		C536405									C0265218;C4551478	2671	LD20.1	Q87.8	256520	102
DISEASE:5727		C537185									C1836876	2670	GB41	Q13.8	609049	9420
DISEASE:5729		C536402									C1850552	2669	LD2H.Y	Q87.8		3943
DISEASE:5733		C535382									C1859722;C4551984	2697	5C58.0Y	Q89.7	208085	794
DISEASE:5736		C535441									C0221363	2695	LA70.1	Q30.2		884
DISEASE:5753		C536113									C2936777	2691				295
DISEASE:5755		C537465;C537735									C1846265	2712	LD21.0	Q87.8	300166	4628
DISEASE:5762		C536480									C0403555	2704	LD2F.1Y	N31.8	236730	104
DISEASE:5771		C537013									C1855663	2707		Q87.0	244450	3084
DISEASE:5775		C537732									C0796140	2709	9A70.Y	Q87.8		212
DISEASE:5779		C536945									C1848909	2731				5118
DISEASE:5783		C537866									C2931646	2720		E70.3		4034
DISEASE:5784		C537742									C0796093	2721	LD27.0Y	Q82.4	257980	4054
DISEASE:5795		C538585									C0026363	2751	LD25.00	Q87.0		3701
DISEASE:5812		C537747									C1850317	2736		Q87.8		4079
DISEASE:5823		C536329									C1857316	2770	8A44.3	G31.8		9921
DISEASE:5827		C536237								10072255	C0175756	2768	FB82.1	M92.5		916
DISEASE:5835		C537138									C1833792	2760		C41.9		4129
DISEASE:5849		C536063								10052452	C0432252	2788	LD24.KY	Q87.5	259770	4160
