ID_OREGANO:11605	HPO	UMLS	MSH	SNOMEDCT_US	MEDDRA	FYLER	NCIT	COHD	EFO	ICD10	ICD9	ICD-10	EPCC	DOID	MONDO	ICD-O	MP	MPATH	PMID	ORPHA	SNOMED_CT	ICD-9
PHENOTYPE:2715	HP:0003853	C4025552																				
PHENOTYPE:2716	HP:0003854	C4025551																				
PHENOTYPE:2717	HP:0003855	C4025550																				
PHENOTYPE:2718	HP:0003856	C4021719																				
PHENOTYPE:2719	HP:0003858	C4025549																				
PHENOTYPE:2720	HP:0003859	C4025548																				
PHENOTYPE:2721	HP:0003860	C4025547																				
PHENOTYPE:2722	HP:0003861	C4021718																				
PHENOTYPE:2723	HP:0003862	C2678399																				
PHENOTYPE:2724	HP:0003863	C4025546																				
PHENOTYPE:2725	HP:0003864	C4025545																				
PHENOTYPE:2726	HP:0003865	C1859460																				
PHENOTYPE:2727	HP:0003866	C4025544																				
PHENOTYPE:2728	HP:0003867	C4025543																				
PHENOTYPE:2729	HP:0003868	C4025542																				
PHENOTYPE:2730	HP:0003869	C4025541																				
PHENOTYPE:2731	HP:0003870	C4025540																				
PHENOTYPE:2732	HP:0003871	C4025539																				
PHENOTYPE:2733	HP:0003872	C4025538																				
PHENOTYPE:2734	HP:0003874	C4025537																				
PHENOTYPE:2735	HP:0003875	C4025536																				
PHENOTYPE:2736	HP:0003876	C4025535																				
PHENOTYPE:2737	HP:0003877	C4025534																				
PHENOTYPE:2738	HP:0003878	C4025533																				
PHENOTYPE:2739	HP:0003879	C4025532																				
PHENOTYPE:2740	HP:0003880	C4021717																				
PHENOTYPE:2741	HP:0003881	C4021716																				
PHENOTYPE:2742	HP:0003882	C4021851																				
PHENOTYPE:2743	HP:0003883	C4025531																				
PHENOTYPE:2744	HP:0003884	C4025530																				
PHENOTYPE:2745	HP:0003885	C4025529																				
PHENOTYPE:2746	HP:0003886	C4021715																				
PHENOTYPE:2747	HP:0003887	C4025528																				
PHENOTYPE:2748	HP:0003888	C3808869																				
PHENOTYPE:2749	HP:0003889	C4025527																				
PHENOTYPE:2750	HP:0003890	C2674600																				
PHENOTYPE:2751	HP:0003891	C4021714																				
PHENOTYPE:2752	HP:0003892	C4021713																				
PHENOTYPE:2753	HP:0003893	C4020836;C4025526																				
PHENOTYPE:2754	HP:0003894	C4021712;C4280543																				
PHENOTYPE:2755	HP:0003895	C4025525																				
PHENOTYPE:2756	HP:0003896	C4025524																				
PHENOTYPE:2757	HP:0003897	C4025523;C4280542																				
PHENOTYPE:2758	HP:0003898	C4025522																				
PHENOTYPE:2759	HP:0003899	C4025521																				
PHENOTYPE:2760	HP:0003900	C4025520																				
PHENOTYPE:2761	HP:0003901	C4025519																				
PHENOTYPE:2762	HP:0003902	C4021711																				
PHENOTYPE:2763	HP:0003903	C4021710																				
PHENOTYPE:2764	HP:0003904	C4021709																				
PHENOTYPE:2765	HP:0003905	C4025518;C4280541																				
PHENOTYPE:2766	HP:0003906	C4021708;C4280540																				
PHENOTYPE:2767	HP:0003907	C4025517																				
PHENOTYPE:2768	HP:0003908	C4025516																				
PHENOTYPE:2769	HP:0003909	C4025515																				
PHENOTYPE:2770	HP:0003910	C4021707																				
PHENOTYPE:2771	HP:0003911	C4020835;C4020912																				
PHENOTYPE:2772	HP:0003912	C4025514																				
PHENOTYPE:2773	HP:0003913	C4021706																				
PHENOTYPE:2774	HP:0003914	C4025513																				
PHENOTYPE:2775	HP:0003915	C4025512																				
PHENOTYPE:2776	HP:0003916	C4025511																				
PHENOTYPE:2777	HP:0003917	C4025510																				
PHENOTYPE:2778	HP:0003918	C4025509																				
PHENOTYPE:2779	HP:0003919	C4025508																				
PHENOTYPE:2780	HP:0003920	C4025507																				
PHENOTYPE:2781	HP:0003921	C4025506																				
PHENOTYPE:2782	HP:0003922	C4025505																				
PHENOTYPE:2783	HP:0003923	C4025504																				
PHENOTYPE:2784	HP:0003924	C4025503																				
PHENOTYPE:2785	HP:0003926	C4025502																				
PHENOTYPE:2786	HP:0003927	C4025501																				
PHENOTYPE:2787	HP:0003928	C4025500																				
PHENOTYPE:2788	HP:0003929	C4025499																				
PHENOTYPE:2789	HP:0003930	C4021705																				
PHENOTYPE:2790	HP:0003931	C4025498																				
PHENOTYPE:2791	HP:0003932	C4025497																				
PHENOTYPE:2792	HP:0003933	C4025496																				
PHENOTYPE:2793	HP:0003934	C4025495																				
PHENOTYPE:2794	HP:0003935	C4021704																				
PHENOTYPE:2795	HP:0003938	C4025494																				
PHENOTYPE:2796	HP:0003939	C0431799		205330003																		
PHENOTYPE:2797	HP:0003940	C0409954		239866002																		
PHENOTYPE:2798	HP:0003941	C4025493																				
PHENOTYPE:2799	HP:0003942	C4025492																				
PHENOTYPE:2800	HP:0003943	C4025491																				
PHENOTYPE:2801	HP:0003944	C4025490																				
PHENOTYPE:2802	HP:0003945	C4025489																				
PHENOTYPE:2803	HP:0003946	C4025488																				
PHENOTYPE:2804	HP:0003947	C4025487																				
PHENOTYPE:2805	HP:0003948	C4025486																				
PHENOTYPE:2806	HP:0003949	C4025485																				
PHENOTYPE:2807	HP:0003950	C4025484																				
PHENOTYPE:2808	HP:0003951	C4021703																				
PHENOTYPE:2809	HP:0003952	C4021702																				
PHENOTYPE:2810	HP:0003953	C4021701																				
PHENOTYPE:2811	HP:0003954	C4025483																				
PHENOTYPE:2812	HP:0003955	C4025482																				
PHENOTYPE:2813	HP:0003956	C4025481																				
PHENOTYPE:2814	HP:0003957	C4021842																				
PHENOTYPE:2815	HP:0003958	C4025480																				
PHENOTYPE:2816	HP:0003959	C4025479																				
PHENOTYPE:2817	HP:0003960	C4025478																				
PHENOTYPE:2818	HP:0003961	C4025477																				
PHENOTYPE:2819	HP:0003963	C4025476																				
PHENOTYPE:2820	HP:0003964	C4025475																				
PHENOTYPE:2821	HP:0003965	C4025474																				
PHENOTYPE:2822	HP:0003966	C4025473																				
PHENOTYPE:2823	HP:0003967	C4025472																				
PHENOTYPE:2824	HP:0003969	C4025471																				
PHENOTYPE:2825	HP:0003970	C4025470																				
PHENOTYPE:2826	HP:0003971	C4021700																				
PHENOTYPE:2827	HP:0003973	C4021699																				
PHENOTYPE:2828	HP:0003974	C1405984;C1838608;C1849314																				
PHENOTYPE:2829	HP:0003976	C4025468																				
PHENOTYPE:2830	HP:0003977	C4025467																				
PHENOTYPE:2831	HP:0003978	C0034628	D011885	12676007																		
PHENOTYPE:2832	HP:0003979	C4021841																				
PHENOTYPE:2833	HP:0003980	C4025466																				
PHENOTYPE:2834	HP:0003981	C4021698																				
PHENOTYPE:2835	HP:0003982	C2678397																				
PHENOTYPE:2836	HP:0003984	C4025465																				
PHENOTYPE:2837	HP:0003985	C4025464																				
PHENOTYPE:2838	HP:0003986	C4025463																				
PHENOTYPE:2839	HP:0003987	C0041601	D014458	54556006																		
PHENOTYPE:2840	HP:0003988	C1848108																				
PHENOTYPE:2841	HP:0003989	C4025462																				
PHENOTYPE:2842	HP:0003990	C4025461																				
PHENOTYPE:2843	HP:0003991	C4021697																				
PHENOTYPE:2844	HP:0003992	C1968814																				
PHENOTYPE:2845	HP:0003993	C4020692;C4025460																				
PHENOTYPE:2846	HP:0003994	C0159941		125618007	"10013184 ""Dislocation of wrist"""																	
PHENOTYPE:2847	HP:0003995	C4021696																				
PHENOTYPE:2848	HP:0003996	C4025459																				
PHENOTYPE:2849	HP:0003997	C4021695																				
PHENOTYPE:2850	HP:0003998	C4025458																				
PHENOTYPE:2851	HP:0003999	C4021694																				
PHENOTYPE:2852	HP:0004000	C4025457																				
PHENOTYPE:2853	HP:0004001	C4025456																				
PHENOTYPE:2854	HP:0004002	C4025455																				
PHENOTYPE:2855	HP:0004003	C4025454																				
PHENOTYPE:2856	HP:0004004	C4025453																				
PHENOTYPE:2857	HP:0004005	C4025452																				
PHENOTYPE:2858	HP:0004006	C4025451																				
PHENOTYPE:2859	HP:0004007	C4025450																				
PHENOTYPE:2860	HP:0004008	C4025449																				
PHENOTYPE:2861	HP:0004009	C4025448																				
PHENOTYPE:2862	HP:0004010	C4025447																				
PHENOTYPE:2863	HP:0004012	C4025446																				
PHENOTYPE:2864	HP:0004013	C4025445																				
PHENOTYPE:2865	HP:0004014	C4021693																				
PHENOTYPE:2866	HP:0004015	C4025444																				
PHENOTYPE:2867	HP:0004016	C4025443																				
PHENOTYPE:2868	HP:0004017	C4025442																				
PHENOTYPE:2869	HP:0004018	C4025441																				
PHENOTYPE:2870	HP:0004019	C4021692																				
PHENOTYPE:2871	HP:0004020	C4025440																				
PHENOTYPE:2872	HP:0004021	C4025439																				
PHENOTYPE:2873	HP:0004022	C4025438																				
PHENOTYPE:2874	HP:0004023	C4025437																				
PHENOTYPE:2875	HP:0004024	C4025436																				
PHENOTYPE:2876	HP:0004025	C4025435																				
PHENOTYPE:2877	HP:0004026	C4021691																				
PHENOTYPE:2878	HP:0004027	C4025434																				
PHENOTYPE:2879	HP:0004028	C4025433																				
PHENOTYPE:2880	HP:0004029	C4025432																				
PHENOTYPE:2881	HP:0004030	C4025431																				
PHENOTYPE:2882	HP:0004031	C4021690																				
PHENOTYPE:2883	HP:0004032	C4025430																				
PHENOTYPE:2884	HP:0004033	C4025429																				
PHENOTYPE:2885	HP:0004034	C4025428																				
